card,store,quantity,value
izzet boilerworks,Mulligan Geek Store,3,1.75
izzet boilerworks,Mulligan Geek Store,3,1.75
izzet boilerworks,Cards Outlet,6,1.64
izzet boilerworks,Cards Outlet,5,1.55
izzet boilerworks,Cards Outlet,4,1.65
izzet boilerworks,Cards Outlet,2,1.47
izzet boilerworks,Cards Outlet,2,1.52
izzet boilerworks,Cards Outlet,2,1.47
izzet boilerworks,Cards Outlet,8,1.64
izzet boilerworks,Cards Outlet,4,1.64
izzet boilerworks,Cards Outlet,4,1.65
izzet boilerworks,Cards Outlet,4,1.47
izzet boilerworks,Cards Outlet,4,1.52
izzet boilerworks,Cards Outlet,4,1.47
izzet boilerworks,Legends Game Store,2,1.61
izzet boilerworks,Legends Game Store,2,1.61
izzet boilerworks,Legends Game Store,1,1.61
izzet boilerworks,Legends Game Store,3,1.61
izzet boilerworks,Inside Games,4,1.50
izzet boilerworks,Inside Games,3,1.50
izzet boilerworks,Inside Games,2,1.50
izzet boilerworks,Inside Games,1,1.50
izzet boilerworks,Card Tutor,1,1.50
izzet boilerworks,Card Tutor,1,1.50
izzet boilerworks,PRCShop,1,1.50
izzet boilerworks,Portal,8,1.50
izzet boilerworks,Portal,3,1.00
izzet boilerworks,Portal,1,1.00
izzet boilerworks,Portal,1,1.50
izzet boilerworks,Portal,1,1.50
izzet boilerworks,Cards e Games,16,1.49
izzet boilerworks,Cards e Games,2,1.39
izzet boilerworks,Cards e Games,2,0.80
izzet boilerworks,LIMIAR STORE,1,1.44
izzet boilerworks,LIMIAR STORE,1,1.49
izzet boilerworks,WCG - World Card Games,3,1.49
izzet boilerworks,WCG - World Card Games,1,1.25
izzet boilerworks,WCG - World Card Games,1,1.49
izzet boilerworks,WCG - World Card Games,4,1.25
izzet boilerworks,Elder Dragon Brasil,13,1.06
izzet boilerworks,Elder Dragon Brasil,2,1.25
izzet boilerworks,Mineral Games,2,1.00
izzet boilerworks,Mineral Games,4,1.25
izzet boilerworks,Mineral Games,1,0.75
mana geyser,Bazar de Bagdá,39,0.99
izzet boilerworks,DeckMasterGames,9,1.19
izzet boilerworks,DeckMasterGames,2,0.99
izzet boilerworks,DeckMasterGames,1,0.99
izzet boilerworks,DeckMasterGames,1,1.19
izzet boilerworks,DeckMasterGames,1,0.90
izzet boilerworks,DeckMasterGames,1,1.00
mana geyser,Magicbembarato,6,0.90
mana geyser,Magicbembarato,4,0.90
mana geyser,Medieval Cards,6,0.71
mana geyser,Medieval Cards,5,0.57
mana geyser,CHQ Cards,22,1.00
mana geyser,CHQ Cards,18,1.00
mana geyser,City Class Games,3,0.55
mana geyser,Inside Games,5,0.50
mana geyser,Chuck TCG,1,0.50
mana geyser,Cards Outlet,4,0.95
mana geyser,Cards Outlet,4,0.95
mana geyser,Magic Leste,1,0.54
mana geyser,Tokenlandia Cards,4,0.50
mana geyser,Tokenlandia Cards,1,0.50
mana geyser,Shandalar,2,0.45
mana geyser,ManaFix.net,5,0.28
mana geyser,Power Up Games,1,0.40
mana geyser,Loja Grimorium,7,0.49
mana geyser,Loja Grimorium,4,0.49
mana geyser,Loja Grimorium,1,0.49
mana geyser,MTG Cards Games,11,0.25
mana geyser,Load or Cast,3,0.35
mana geyser,Magic House Games,22,0.35
mana geyser,Magic House Games,11,0.35
izzet boilerworks,Load or Cast,2,1.10
izzet boilerworks,Load or Cast,1,1.05
izzet boilerworks,Load or Cast,1,0.95
izzet boilerworks,Load or Cast,11,0.85
izzet boilerworks,Load or Cast,6,0.80
mana geyser,Loja Blood Moon,4,0.45
izzet boilerworks,Tokenlandia Cards,1,1.00
izzet boilerworks,SpellCast,1,1.19
izzet boilerworks,SpellCast,1,1.19
izzet boilerworks,Armada Nerd Hobby Store,1,1.00
mana geyser,Gideon\'s Palace,1,0.25
izzet boilerworks,Magic Club,24,1.00
izzet boilerworks,Condado Card Games,9,0.90
mana geyser,Meruru,18,0.55
mana geyser,Liga Arena,1,0.19
izzet boilerworks,MTG Caxias Cards,1,0.80
