card,store,quantity,value
swords to plowshares,Inside Games,17,7.50
swords to plowshares,Inside Games,13,7.50
swords to plowshares,Inside Games,13,7.50
swords to plowshares,Inside Games,9,7.50
swords to plowshares,Inside Games,8,7.50
swords to plowshares,Inside Games,7,7.50
swords to plowshares,Inside Games,3,7.50
swords to plowshares,Inside Games,2,11.00
swords to plowshares,Inside Games,1,12.00
swords to plowshares,Neowalkers Geek Store,1,15.00
swords to plowshares,Legends Game Store,1,13.49
swords to plowshares,Legends Game Store,1,13.49
swords to plowshares,Legends Game Store,1,4.94
swords to plowshares,Legends Game Store,2,4.94
swords to plowshares,Legends Game Store,1,4.94
swords to plowshares,Universo Magic,1,13.00
swords to plowshares,Universo Magic,1,4.00
swords to plowshares,Universo Magic,1,10.00
swords to plowshares,Universo Magic,1,4.00
swords to plowshares,Power9,2,13.00
swords to plowshares,Power9,2,11.99
swords to plowshares,Power9,1,11.95
swords to plowshares,Power9,4,11.95
swords to plowshares,Power9,4,4.95
swords to plowshares,Power9,4,4.95
swords to plowshares,Power9,1,4.95
swords to plowshares,Power9,4,4.95
swords to plowshares,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,8.40
swords to plowshares,Multiverso Cards Comercio de Jogos e Acessorios Lt,2,5.69
swords to plowshares,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,9.75
swords to plowshares,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,4.80
swords to plowshares,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,12.60
swords to plowshares,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,5.70
swords to plowshares,Load or Cast,2,12.35
swords to plowshares,Load or Cast,1,12.25
swords to plowshares,Load or Cast,1,6.10
swords to plowshares,Load or Cast,4,5.15
swords to plowshares,Load or Cast,1,0.00
swords to plowshares,Load or Cast,2,0.00
swords to plowshares,LIMIAR STORE,1,5.92
swords to plowshares,LIMIAR STORE,1,12.34
swords to plowshares,LIMIAR STORE,1,7.62
swords to plowshares,Miragem Hobby,7,5.49
swords to plowshares,Miragem Hobby,1,11.75
swords to plowshares,Condado Card Games,1,10.80
swords to plowshares,Condado Card Games,1,3.51
swords to plowshares,Goblin Hero Store,1,10.50
swords to plowshares,Toca do Quati,2,10.00
swords to plowshares,Lets Collect,2,9.86
