card,store,quantity,value
island,Pi Games,1,0.50
island,Pi Games,1,4.49
island,Pi Games,1,3.99
island,City Class Games,4,4.59
island,City Class Games,3,5.51
island,City Class Games,3,11.03
island,City Class Games,1,3.67
island,City Class Games,1,3.67
island,City Class Games,1,3.67
island,Ascensão,15,0.25
island,Ascensão,1,2.30
island,Ascensão,1,1.99
island,Ascensão,1,1.90
island,Ascensão,1,0.45
island,Ascensão,1,11.95
island,Ascensão,1,0.17
island,Ascensão,1,0.38
island,Gideon\'s Palace,16,1.50
island,Gideon\'s Palace,5,0.30
island,Gideon\'s Palace,4,1.50
island,Gideon\'s Palace,3,10.00
island,Gideon\'s Palace,1,9.00
island,Gideon\'s Palace,1,3.00
island,Armada Nerd Hobby Store,5,10.00
island,Armada Nerd Hobby Store,1,2.50
island,Monster Games Cards,2,10.00
island,Legion Board & Card Games,22,9.45
island,Legion Board & Card Games,7,0.95
island,Legion Board & Card Games,4,2.85
island,Legion Board & Card Games,1,2.85
island,Mineral Games,9,9.00
island,House of Cards - Card Games,8,8.95
island,House of Cards - Card Games,2,6.95
island,Xaracards,15,7.49
island,Xaracards,2,0.99
island,Loja Caverna do Dragão,11,1.00
island,Loja Caverna do Dragão,5,6.50
island,Loja Caverna do Dragão,3,7.90
island,Loja Caverna do Dragão,2,0.30
island,Loja Caverna do Dragão,1,2.00
island,Loja Caverna do Dragão,1,3.50
island,Millennium Cards & Games,1,2.00
island,Millennium Cards & Games,1,9.00
island,A Taverna,2,8.50
island,Tabuleria,24,0.25
island,Tabuleria,4,7.50
island,Cards Hall,1,1.00
island,Cards Hall,1,5.00
island,Magic Store Brasil,1,3.00
island,Magic Store Brasil,9,0.50
island,Magic Store Brasil,2,0.50
island,Magic Store Brasil,2,0.50
island,Cúpula do Trovão,16,3.00
island,Cúpula do Trovão,2,2.50
island,MTG Caxias Cards,6,2.99
island,MTG Caxias Cards,4,1.00
island,under3,1,1.98
island,under3,1,1.98
island,Padrinho: Card Store,1,1.49
island,Miragem Hobby,5,0.30
island,Miragem Hobby,22,1.89
island,Magicbembarato,6,0.98
island,Player`s Stop,16,0.63
island,Player`s Stop,7,0.35
island,Lets Collect,45,0.68
island,Lets Collect,41,0.45
island,Lets Collect,41,0.41
island,Lets Collect,36,0.45
island,Lets Collect,35,0.68
island,Lets Collect,26,0.68
island,Lets Collect,6,0.68
island,Lets Collect,1,0.41
island,Lets Collect,1,0.45
island,PRCShop,21,0.50
island,Território Card Games,4,0.50
island,Taverna Geek,6,0.30
island,Taverna Geek,2,0.15
island,Taverna Geek,1,0.30
island,Taverna Geek,1,0.20
island,Prime MTG,12,0.25
island,Prime MTG,4,0.22
island,Prime MTG,2,0.30
frantic search,VAULT,12,5.00
frantic search,VAULT,6,1.50
frantic search,VAULT,4,1.51
frantic search,VAULT,4,4.00
frantic search,VAULT,3,11.00
frantic search,VAULT,1,5.00
frantic search,VAULT,1,5.01
frantic search,VAULT,1,6.00
frantic search,Pharaoh\'s Shop,44,1.00
frantic search,Pharaoh\'s Shop,11,11.00
frantic search,Load or Cast,2,12.45
frantic search,Load or Cast,7,1.60
frantic search,Cards Of Paradise,41,3.00
frantic search,Cards Of Paradise,18,11.80
frantic search,TCGeeK,22,3.00
frantic search,TCGeeK,1,12.00
frantic search,TCGeeK,1,3.50
frantic search,Liga Arena,5,10.36
frantic search,Liga Arena,8,2.38
frantic search,Geex Hobby Store,1,9.99
frantic search,Geex Hobby Store,1,1.99
frantic search,Geex Hobby Store,1,1.75
frantic search,Geex Hobby Store,1,1.99
frantic search,Prime MTG,3,10.12
frantic search,Cards Hall,4,10.12
frantic search,MTG Caxias Cards,1,9.99
frantic search,Segura Card & Games,8,1.00
frantic search,Segura Card & Games,2,10.80
frantic search,Tutubahia,4,2.50
frantic search,Tutubahia,4,9.75
frantic search,Ilusões Industriais,2,9.90
frantic search,Ilusões Industriais,2,1.00
frantic search,Medieval Cards,6,4.75
frantic search,Medieval Cards,2,3.56
frantic search,Medieval Cards,1,4.75
frantic search,Medieval Cards,1,3.33
frantic search,Medieval Cards,1,9.50
frantic search,Magicbembarato,4,7.20
frantic search,Magicbembarato,4,2.21
frantic search,Magicbembarato,1,8.90
frantic search,Taverneiros,45,0.50
frantic search,MTG Cards Games,2,7.99
frantic search,Chuck TCG,4,3.50
frantic search,Chuck TCG,1,9.50
frantic search,RED Jogos,2,7.12
frantic search,RED Jogos,3,2.00
frantic search,Cards Outlet,16,2.13
frantic search,Cards Outlet,2,6.93
frantic search,Cards Outlet,4,6.93
frantic search,Cards Outlet,4,2.13
frantic search,Mulligan Geek Store,21,4.75
frantic search,Mulligan Geek Store,2,6.50
frantic search,CHQ Cards,6,6.10
frantic search,Loja Grimorium,9,5.99
frantic search,Loja Grimorium,3,5.99
swarm intelligence,Loja Grimorium,5,2.50
swarm intelligence,Loja Grimorium,2,6.99
swarm intelligence,Loja Grimorium,1,2.50
swarm intelligence,TCGeeK,12,2.00
swarm intelligence,TCGeeK,1,8.00
swarm intelligence,TCGeeK,1,7.00
frantic search,Portal,3,5.00
frantic search,Portal,2,4.50
frantic search,Inside Games,46,5.00
frantic search,Inside Games,4,6.00
swarm intelligence,Power9,1,5.00
swarm intelligence,Power9,17,0.95
swarm intelligence,Bazar de Bagdá,1,5.99
swarm intelligence,Bazar de Bagdá,1,5.99
swarm intelligence,Inside Games,19,4.00
swarm intelligence,Inside Games,2,12.00
swarm intelligence,Konklave FunStore,3,5.59
swarm intelligence,Konklave FunStore,1,5.59
swarm intelligence,Konklave FunStore,4,2.80
swarm intelligence,Miragem Hobby,7,1.75
swarm intelligence,Miragem Hobby,1,4.95
swarm intelligence,Medieval Cards,9,0.95
swarm intelligence,Medieval Cards,3,4.74
swarm intelligence,Medieval Cards,2,0.81
swarm intelligence,Medieval Cards,1,4.74
swarm intelligence,Jaw Games,4,1.00
swarm intelligence,Jaw Games,3,4.50
swarm intelligence,Overrun Geek Store,4,1.00
swarm intelligence,Overrun Geek Store,1,5.00
swarm intelligence,Pi Games,4,1.79
swarm intelligence,Pi Games,3,1.79
swarm intelligence,Pi Games,3,4.99
swarm intelligence,Magic Leste,2,4.50
swarm intelligence,Magicbembarato,3,3.12
swarm intelligence,MTG Cards Games,1,3.95
swarm intelligence,Cards Of Paradise,48,3.00
swarm intelligence,Cards Of Paradise,5,3.00
swarm intelligence,City Class Games,33,3.22
swarm intelligence,Cards Outlet,4,3.03
swarm intelligence,Reino Magic,1,1.00
swarm intelligence,Reino Magic,1,3.00
swarm intelligence,CHQ Cards,37,3.20
swarm intelligence,Magic Store Brasil,1,3.00
swarm intelligence,Magic Store Brasil,1,2.90
frantic search,Magic Store Brasil,1,4.15
frantic search,Magic Store Brasil,1,3.30
frantic search,Konklave FunStore,1,4.40
frantic search,Konklave FunStore,4,2.80
frantic search,Treasure Cards,1,4.50
frantic search,Mineral Games,6,3.90
frantic search,LIMIAR STORE,2,3.74
frantic search,LIMIAR STORE,1,2.37
frantic search,Skull Games,1,3.89
frantic search,WCG - World Card Games,1,3.49
frantic search,Meruru,9,3.48
swarm intelligence,Cards Hall,1,2.98
frantic search,Hobby Center,14,2.75
swarm intelligence,Portal,3,1.50
swarm intelligence,Tutubahia,4,1.25
swarm intelligence,Liga Arena,1,1.81
swarm intelligence,Livraria de Alexandria,1,1.00
swarm intelligence,Newstation,4,2.00
swarm intelligence,Bahia Store,2,1.50
swarm intelligence,Legends Game Store,5,1.34
swarm intelligence,Legends Game Store,2,1.34
swarm intelligence,Legends Game Store,1,1.22
swarm intelligence,Armada Nerd Hobby Store,3,1.00
swarm intelligence,Tabuleria,2,1.00
swarm intelligence,Padrinho: Card Store,1,0.99
swarm intelligence,Valhala Store,1,1.00
swarm intelligence,Lets Collect,7,0.68
swarm intelligence,Segura Card & Games,1,0.65
swarm intelligence,Xaracards,1,0.50
swarm intelligence,Magic Club,15,0.80
swarm intelligence,Elder Dragon Brasil,12,0.70
swarm intelligence,Elder Dragon Brasil,8,0.70
desolate lighthouse,Pi Games,2,4.99
desolate lighthouse,Pi Games,1,29.99
swarm intelligence,Arena Hobby Store,3,0.75
swarm intelligence,PRCShop,7,0.50
swarm intelligence,Loja Miracles,1,0.40
swarm intelligence,Refúgio do Dragão,3,0.40
desolate lighthouse,Card Tutor,1,13.95
desolate lighthouse,Card Tutor,1,23.50
desolate lighthouse,Card Tutor,1,19.95
frantic search,Elder Dragon Brasil,7,2.10
frantic search,Tokenlandia Cards,1,2.50
frantic search,Flow Games,5,2.29
frantic search,Flow Games,2,2.29
frantic search,Gideon\'s Palace,1,1.99
frantic search,House of Cards - Card Games,4,1.95
frantic search,Legion Board & Card Games,1,1.19
frantic search,PRCShop,7,1.50
frantic search,Xaracards,2,0.75
frantic search,Fire Ice Card Games,1,0.99
frantic search,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,1.20
frantic search,Padrinho: Card Store,1,1.20
frantic search,Universo Magic,1,1.00
frantic search,DeckMasterGames,4,1.20
frantic search,Cabala MtG,1,0.50
seething song,Bazar de Bagdá,12,4.99
seething song,Bazar de Bagdá,7,3.99
seething song,Bazar de Bagdá,7,3.99
seething song,Bazar de Bagdá,7,4.99
seething song,Bazar de Bagdá,6,4.99
seething song,Bazar de Bagdá,3,34.99
seething song,Power9,1,29.00
seething song,Power9,1,26.99
seething song,Power9,4,26.00
seething song,Power9,2,3.75
swarm intelligence,Card Castle,1,0.39
desolate lighthouse,VAULT,4,3.00
desolate lighthouse,VAULT,2,2.00
desolate lighthouse,VAULT,2,3.50
desolate lighthouse,VAULT,2,3.50
desolate lighthouse,VAULT,2,2.50
desolate lighthouse,VAULT,1,3.00
desolate lighthouse,VAULT,1,15.00
desolate lighthouse,Tutubahia,4,2.50
desolate lighthouse,Tutubahia,4,2.50
desolate lighthouse,Tutubahia,1,2.50
desolate lighthouse,Tutubahia,1,14.75
desolate lighthouse,Newstation,4,5.00
desolate lighthouse,Newstation,1,7.90
desolate lighthouse,Newstation,1,20.00
frantic search,Overrun Geek Store,1,1.50
desolate lighthouse,Treasure Cards,1,3.60
desolate lighthouse,Treasure Cards,1,15.75
desolate lighthouse,Goblin Hero Store,1,15.00
desolate lighthouse,Magic Leste,1,14.50
desolate lighthouse,Power9,4,11.99
desolate lighthouse,Power9,4,3.00
desolate lighthouse,Power9,4,2.50
desolate lighthouse,Ilusões Industriais,1,13.00
desolate lighthouse,Neowalkers Geek Store,3,2.98
desolate lighthouse,Neowalkers Geek Store,1,12.00
desolate lighthouse,Neowalkers Geek Store,1,2.98
desolate lighthouse,Bazar de Bagdá,22,2.99
desolate lighthouse,Bazar de Bagdá,13,2.99
desolate lighthouse,Bazar de Bagdá,1,9.99
desolate lighthouse,PRCShop,1,12.00
desolate lighthouse,PRCShop,1,2.00
desolate lighthouse,Universo Magic,1,6.00
desolate lighthouse,Cards Store,4,1.86
desolate lighthouse,Cards Store,4,2.00
desolate lighthouse,Cards Store,2,12.00
desolate lighthouse,Cards Store,2,1.50
desolate lighthouse,Prime MTG,4,2.76
desolate lighthouse,Prime MTG,1,11.82
desolate lighthouse,Prime MTG,1,4.45
desolate lighthouse,RED Jogos,2,10.00
desolate lighthouse,RED Jogos,2,3.00
desolate lighthouse,Top Deck RN,1,9.98
desolate lighthouse,Loja Grimorium,3,5.99
desolate lighthouse,Loja Grimorium,2,4.99
desolate lighthouse,Loja Grimorium,1,5.99
desolate lighthouse,City Class Games,3,5.98
desolate lighthouse,City Class Games,1,1.37
desolate lighthouse,Portal,1,5.00
desolate lighthouse,Cards Of Paradise,44,3.80
desolate lighthouse,Cards Of Paradise,4,11.80
desolate lighthouse,Liga Arena,1,3.99
desolate lighthouse,Liga Arena,2,2.84
desolate lighthouse,Liga Arena,7,2.76
desolate lighthouse,Inside Games,9,4.00
desolate lighthouse,Inside Games,4,4.00
desolate lighthouse,Valhala Store,1,3.99
desolate lighthouse,Tokenlandia Cards,2,4.00
desolate lighthouse,TCGeeK,6,3.60
desolate lighthouse,TCGeeK,2,2.50
desolate lighthouse,Magic Store Brasil,1,3.90
desolate lighthouse,VampireX TCG,5,4.39
desolate lighthouse,Card Castle,1,2.49
desolate lighthouse,Card Castle,1,3.98
swiftwater cliffs,TCGeeK,24,0.70
swiftwater cliffs,TCGeeK,22,0.70
swiftwater cliffs,TCGeeK,15,0.70
swiftwater cliffs,TCGeeK,14,0.80
swiftwater cliffs,TCGeeK,8,0.80
swiftwater cliffs,TCGeeK,6,4.00
swiftwater cliffs,TCGeeK,6,1.00
swiftwater cliffs,TCGeeK,1,0.60
swiftwater cliffs,Toca do Quati,5,0.60
swiftwater cliffs,Toca do Quati,1,4.50
swiftwater cliffs,Toca do Quati,1,2.80
swiftwater cliffs,Loja Grimorium,4,0.99
swiftwater cliffs,Loja Grimorium,4,0.99
swiftwater cliffs,Loja Grimorium,4,0.99
swiftwater cliffs,Loja Grimorium,3,0.99
swiftwater cliffs,Loja Grimorium,2,0.99
swiftwater cliffs,Loja Grimorium,2,3.99
swiftwater cliffs,Loja Grimorium,1,3.99
swiftwater cliffs,Loja Grimorium,1,0.99
swiftwater cliffs,Newstation,8,0.50
swiftwater cliffs,Newstation,6,1.00
swiftwater cliffs,Newstation,5,1.00
swiftwater cliffs,Newstation,2,1.00
swiftwater cliffs,Newstation,1,4.00
swiftwater cliffs,Newstation,1,4.00
swiftwater cliffs,Newstation,1,4.00
swiftwater cliffs,Newstation,1,1.00
swiftwater cliffs,Cards Of Paradise,162,0.80
swiftwater cliffs,Cards Of Paradise,47,0.80
swiftwater cliffs,Cards Of Paradise,42,0.40
swiftwater cliffs,Cards Of Paradise,36,0.80
swiftwater cliffs,Cards Of Paradise,36,0.80
swiftwater cliffs,Cards Of Paradise,36,0.80
swiftwater cliffs,Cards Of Paradise,35,0.80
swiftwater cliffs,Cards Of Paradise,26,3.80
swiftwater cliffs,Cards Of Paradise,24,0.80
swiftwater cliffs,Cards Of Paradise,16,3.80
swiftwater cliffs,Cards Of Paradise,7,3.80
swiftwater cliffs,Cards Of Paradise,1,3.80
swiftwater cliffs,Cards Of Paradise,1,3.80
frantic search,Top Deck RN,2,0.47
swiftwater cliffs,Pi Games,5,0.75
swiftwater cliffs,Pi Games,4,3.99
