card,store,quantity,value
Pirate's Prize,Tabuleria,18,0.25
Pirate's Prize,MTG Cards Games,24,0.25
Pirate's Prize,Medieval Cards,41,0.24
Pirate's Prize,Lets Collect,32,0.23
Pirate's Prize,Condado Card Games,16,0.21
Pirate's Prize,Porto Livre Games,13,0.21
Pirate's Prize,ProNerd,5,0.21
Pirate's Prize,Loja Drop1,22,0.20
Pirate's Prize,Pharaoh\'s Shop,28,0.20
Pirate's Prize,Cards Outlet,33,0.23
Pirate's Prize,Nerdz Cards,11,0.20
Pirate's Prize,Taverna Geek,13,0.20
Pirate's Prize,Loja Caverna do Dragão,9,0.20
Pirate's Prize,Millennium Cards & Games,19,0.20
Pirate's Prize,Loja Blood Moon,8,0.20
Pirate's Prize,Jaw Games,1,0.20
Pirate's Prize,Legion Board & Card Games,22,0.20
Pirate's Prize,A Taverna,17,0.20
Pirate's Prize,Elder Dragon Brasil,19,0.20
Pirate's Prize,Epic Game,25,0.25
Pirate's Prize,Legends Game Store,18,0.18
Pirate's Prize,Mineral Games,31,0.20
Pirate's Prize,Cabala MtG,12,0.13
Pirate's Prize,Gideon\'s Palace,7,0.15
Pirate's Prize,Valhala Store,9,0.15
Pirate's Prize,Moinho de Vento Geek Store,21,0.15
Pirate's Prize,Neowalkers Geek Store,6,0.15
Pirate's Prize,Cúpula do Trovão,19,0.15
Pirate's Prize,Magic Leste,34,0.14
Pirate's Prize,Refúgio do Dragão,9,0.13
Pirate's Prize,Refúgio do Dragão,1,0.07
Pirate's Prize,Loja de Cartinhas,5,0.10
Pirate's Prize,Universo Magic,21,0.10
Pirate's Prize,Liga Arena,8,0.10
Pirate's Prize,Rayearth Games,28,0.09
Pirate's Prize,Flow Games,68,0.09
Pirate's Prize,Goblin Hero Store,1,0.09
Pirate's Prize,Treasure Cards,21,0.09
Pirate's Prize,Magic House Games,2,0.09
Inspiring Statuary,Cards Of Paradise,34,4.75
Inspiring Statuary,Cards Of Paradise,15,9.75
Inspiring Statuary,Cards Of Paradise,5,9.75
